Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-11 00:00:00-04:00,60.017459312045126,61.353273291919265,58.05710779642268,58.27272415161133,72543600,0.0,0.0
2018-10-12 00:00:00-04:00,60.84522015163011,61.84398259887659,59.39292478605142,61.100486755371094,60823600,0.0,0.0
2018-10-15 00:00:00-04:00,60.96665642196768,60.96665642196768,58.324767069428084,58.33468246459961,44976000,0.0,0.0
2018-10-16 00:00:00-04:00,59.46231922395906,61.03605365286628,58.96913605311277,60.924530029296875,40871200,0.0,0.0
2018-10-17 00:00:00-04:00,61.54658569103193,61.92824901257759,59.747327091448774,60.238033294677734,32966800,0.0,0.0
2018-10-18 00:00:00-04:00,60.93196647427038,61.31610677261197,58.758479103481285,59.363189697265625,52402000,0.0,0.0
2018-10-19 00:00:00-04:00,59.91584996313423,60.111639318373456,56.43133340396911,56.79564666748047,61360800,0.0,0.0
2018-10-22 00:00:00-04:00,57.31857261992415,58.31981580735687,56.275202236748775,57.30370330810547,36884400,0.0,0.0
2018-10-23 00:00:00-04:00,54.62960072877503,55.561451380036054,53.70766925588821,54.785736083984375,62643600,0.0,0.0
2018-10-24 00:00:00-04:00,54.40158973349565,54.86751500747469,49.281384544017556,49.420169830322266,88428800,0.0,0.0
2018-10-25 00:00:00-04:00,48.44371176112824,51.98275171863274,48.00009045116445,51.50939178466797,95172000,0.0,0.0
2018-10-26 00:00:00-04:00,49.147562526653886,50.76590515816767,47.861313862225686,49.14260482788086,66478400,0.0,0.0
2018-10-29 00:00:00-04:00,50.55523878426551,50.58993510458874,43.62089838273249,46.0025634765625,75801600,0.0,0.0
2018-10-30 00:00:00-04:00,46.233059034637215,50.40902584628718,46.00257331478579,50.30989456176758,80719200,0.0,0.0
2018-10-31 00:00:00-04:00,51.95796072469211,52.68658717748614,50.560188841525104,52.250404357910156,74577200,0.0,0.0
2018-11-01 00:00:00-04:00,52.61473087458143,54.14881145812335,51.34830928712132,54.05463409423828,56652800,0.0,0.0
2018-11-02 00:00:00-04:00,53.96045293520952,55.01869648960522,52.09675927237898,53.26404571533203,45296000,0.0,0.0
2018-11-05 00:00:00-05:00,53.132701802158614,53.36566448490841,50.87495215326961,52.48338317871094,37933200,0.0,0.0
2018-11-06 00:00:00-05:00,52.404057860388896,53.246688643412334,51.93565569060556,52.307403564453125,29901200,0.0,0.0
